p; n; d; ind of insep; polygon; residual poly; defining poly; automorphism; galois group; 
p=2; n=16; d=1*p^24+...; I=[ 9, 9, 9, 9, 0 ]; R=[ <1, 9>, <16, 0> ]; A=<t^3 + 1>; f=x^16 + 2*x^9 + 2; Aut=1T1; Gal=16T711
p=2; n=16; d=1*p^24+...; I=[ 9, 9, 9, 8, 0 ]; R=[ <1, 9>, <16, 0> ]; A=<t^3 + 1>; f=x^16 + 2*x^9 + 2*x^8 + 2; Aut=1T1; Gal=16T711
p=2; n=16; d=1*p^24+...; I=[ 9, 2, 2, 2, 0 ]; R=[ <1, 9>, <2, 2>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^9 + 2*x^2 + 2; Aut=2T1; Gal=16T1841
p=2; n=16; d=1*p^24+...; I=[ 9, 2, 2, 2, 0 ]; R=[ <1, 9>, <2, 2>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^15 + 2*x^9 + 2*x^2 + 2; Aut=2T1; Gal=0T0
p=2; n=16; d=1*p^24+...; I=[ 9, 2, 2, 2, 0 ]; R=[ <1, 9>, <2, 2>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^13 + 2*x^9 + 2*x^2 + 2; Aut=2T1; Gal=0T0
p=2; n=16; d=1*p^24+...; I=[ 9, 2, 2, 2, 0 ]; R=[ <1, 9>, <2, 2>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^15 + 2*x^13 + 2*x^9 + 2*x^2 + 2; Aut=2T1; Gal=16T1841
p=2; n=16; d=1*p^24+...; I=[ 9, 2, 2, 2, 0 ]; R=[ <1, 9>, <2, 2>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^11 + 2*x^9 + 2*x^2 + 2; Aut=2T1; Gal=0T0
p=2; n=16; d=1*p^24+...; I=[ 9, 2, 2, 2, 0 ]; R=[ <1, 9>, <2, 2>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^15 + 2*x^11 + 2*x^9 + 2*x^2 + 2; Aut=2T1; Gal=16T1841
p=2; n=16; d=1*p^24+...; I=[ 9, 2, 2, 2, 0 ]; R=[ <1, 9>, <2, 2>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^13 + 2*x^11 + 2*x^9 + 2*x^2 + 2; Aut=2T1; Gal=16T1841
p=2; n=16; d=1*p^24+...; I=[ 9, 2, 2, 2, 0 ]; R=[ <1, 9>, <2, 2>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^15 + 2*x^13 + 2*x^11 + 2*x^9 + 2*x^2 + 2; Aut=2T1; Gal=0T0
p=2; n=16; d=1*p^24+...; I=[ 9, 2, 2, 2, 0 ]; R=[ <1, 9>, <2, 2>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^9 + 2*x^2 + 6; Aut=2T1; Gal=16T1841
p=2; n=16; d=1*p^24+...; I=[ 9, 2, 2, 2, 0 ]; R=[ <1, 9>, <2, 2>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^15 + 2*x^9 + 2*x^2 + 6; Aut=2T1; Gal=16T712
p=2; n=16; d=1*p^24+...; I=[ 9, 2, 2, 2, 0 ]; R=[ <1, 9>, <2, 2>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^13 + 2*x^9 + 2*x^2 + 6; Aut=2T1; Gal=0T0
p=2; n=16; d=1*p^24+...; I=[ 9, 2, 2, 2, 0 ]; R=[ <1, 9>, <2, 2>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^15 + 2*x^13 + 2*x^9 + 2*x^2 + 6; Aut=2T1; Gal=16T1841
p=2; n=16; d=1*p^24+...; I=[ 9, 2, 2, 2, 0 ]; R=[ <1, 9>, <2, 2>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^11 + 2*x^9 + 2*x^2 + 6; Aut=2T1; Gal=16T1503
p=2; n=16; d=1*p^24+...; I=[ 9, 2, 2, 2, 0 ]; R=[ <1, 9>, <2, 2>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^15 + 2*x^11 + 2*x^9 + 2*x^2 + 6; Aut=2T1; Gal=0T0
p=2; n=16; d=1*p^24+...; I=[ 9, 2, 2, 2, 0 ]; R=[ <1, 9>, <2, 2>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^13 + 2*x^11 + 2*x^9 + 2*x^2 + 6; Aut=2T1; Gal=16T1841
p=2; n=16; d=1*p^24+...; I=[ 9, 2, 2, 2, 0 ]; R=[ <1, 9>, <2, 2>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^15 + 2*x^13 + 2*x^11 + 2*x^9 + 2*x^2 + 6; Aut=2T1; Gal=0T0
p=2; n=16; d=1*p^24+...; I=[ 9, 6, 6, 6, 0 ]; R=[ <1, 9>, <2, 6>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^9 + 2*x^6 + 2; Aut=2T1; Gal=16T1841
p=2; n=16; d=1*p^24+...; I=[ 9, 6, 6, 6, 0 ]; R=[ <1, 9>, <2, 6>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^12 + 2*x^9 + 2*x^6 + 2; Aut=2T1; Gal=16T1841
p=2; n=16; d=1*p^24+...; I=[ 9, 6, 6, 6, 0 ]; R=[ <1, 9>, <2, 6>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^11 + 2*x^9 + 2*x^6 + 2; Aut=2T1; Gal=16T1841
p=2; n=16; d=1*p^24+...; I=[ 9, 6, 6, 6, 0 ]; R=[ <1, 9>, <2, 6>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^12 + 2*x^11 + 2*x^9 + 2*x^6 + 2; Aut=2T1; Gal=16T1841
p=2; n=16; d=1*p^24+...; I=[ 9, 9, 4, 4, 0 ]; R=[ <1, 9>, <4, 4>, <16, 0> ]; A=<t + 1, t^4 + 1>; f=x^16 + 2*x^9 + 2*x^4 + 2; Aut=1T1; Gal=16T195
p=2; n=16; d=1*p^24+...; I=[ 9, 9, 4, 4, 0 ]; R=[ <1, 9>, <4, 4>, <16, 0> ]; A=<t + 1, t^4 + 1>; f=x^16 + 2*x^10 + 2*x^9 + 2*x^4 + 2; Aut=1T1; Gal=16T430
