p; n; j; ind of insep; polygon; residual poly; defining poly; automorphism; galois group; 
p=2; n=4; d=1*p^4+...; I=[ 1, 1, 0 ]; R=[ <1, 1>, <4, 0> ]; A=<t + 1>; f=x^4 + 2*x + 2; Aut=1T1; Gal=4T5
p=2; n=4; d=1*p^6+...; I=[ 3, 3, 0 ]; R=[ <1, 3>, <4, 0> ]; A=<t^3 + 1>; f=x^4 + 2*x^3 + 2; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^6+...; I=[ 3, 3, 0 ]; R=[ <1, 3>, <4, 0> ]; A=<t^3 + 1>; f=x^4 + 2*x^3 + 6; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^6+...; I=[ 3, 2, 0 ]; R=[ <1, 3>, <2, 2>, <4, 0> ]; A=<t^3 + t + 1>; f=x^4 + 2*x^3 + 2*x^2 + 2; Aut=1T1; Gal=4T4
p=2; n=4; d=1*p^8+...; I=[ 5, 4, 0 ]; R=[ <1, 5>, <4, 0> ]; A=<t + 1>; f=x^4 + 4*x + 2; Aut=1T1; Gal=4T5
p=2; n=4; d=1*p^8+...; I=[ 5, 4, 0 ]; R=[ <1, 5>, <4, 0> ]; A=<t + 1>; f=x^4 + 4*x^2 + 4*x + 2; Aut=1T1; Gal=4T5
p=2; n=4; d=1*p^8+...; I=[ 5, 2, 0 ]; R=[ <1, 5>, <2, 2>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 2*x^2 + 4*x + 2; Aut=4T2; Gal=4T2
p=2; n=4; d=1*p^8+...; I=[ 5, 2, 0 ]; R=[ <1, 5>, <2, 2>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^3 + 2*x^2 + 4*x + 2; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^8+...; I=[ 5, 2, 0 ]; R=[ <1, 5>, <2, 2>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 2*x^2 + 4*x + 10; Aut=4T2; Gal=4T2
p=2; n=4; d=1*p^8+...; I=[ 5, 2, 0 ]; R=[ <1, 5>, <2, 2>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^3 + 2*x^2 + 4*x + 10; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^8+...; I=[ 5, 2, 0 ]; R=[ <1, 5>, <2, 2>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 2*x^2 + 4*x + 6; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^8+...; I=[ 5, 2, 0 ]; R=[ <1, 5>, <2, 2>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^3 + 2*x^2 + 4*x + 6; Aut=4T2; Gal=4T2
p=2; n=4; d=1*p^8+...; I=[ 5, 2, 0 ]; R=[ <1, 5>, <2, 2>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 2*x^2 + 4*x + 14; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^8+...; I=[ 5, 2, 0 ]; R=[ <1, 5>, <2, 2>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^3 + 2*x^2 + 4*x + 14; Aut=4T2; Gal=4T2
p=2; n=4; d=1*p^9+...; I=[ 6, 2, 0 ]; R=[ <1, 6>, <2, 2>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 2*x^2 + 2; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^9+...; I=[ 6, 2, 0 ]; R=[ <1, 6>, <2, 2>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^3 + 2*x^2 + 2; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^9+...; I=[ 6, 2, 0 ]; R=[ <1, 6>, <2, 2>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 10*x^2 + 2; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^9+...; I=[ 6, 2, 0 ]; R=[ <1, 6>, <2, 2>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^3 + 10*x^2 + 2; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^9+...; I=[ 6, 2, 0 ]; R=[ <1, 6>, <2, 2>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 2*x^2 + 8*x + 2; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^9+...; I=[ 6, 2, 0 ]; R=[ <1, 6>, <2, 2>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^3 + 2*x^2 + 8*x + 2; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^9+...; I=[ 6, 2, 0 ]; R=[ <1, 6>, <2, 2>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 10*x^2 + 8*x + 2; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^9+...; I=[ 6, 2, 0 ]; R=[ <1, 6>, <2, 2>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^3 + 10*x^2 + 8*x + 2; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^9+...; I=[ 6, 2, 0 ]; R=[ <1, 6>, <2, 2>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 2*x^2 + 6; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^9+...; I=[ 6, 2, 0 ]; R=[ <1, 6>, <2, 2>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^3 + 2*x^2 + 6; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^9+...; I=[ 6, 2, 0 ]; R=[ <1, 6>, <2, 2>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 10*x^2 + 6; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^9+...; I=[ 6, 2, 0 ]; R=[ <1, 6>, <2, 2>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^3 + 10*x^2 + 6; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^9+...; I=[ 6, 2, 0 ]; R=[ <1, 6>, <2, 2>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 2*x^2 + 8*x + 6; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^9+...; I=[ 6, 2, 0 ]; R=[ <1, 6>, <2, 2>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^3 + 2*x^2 + 8*x + 6; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^9+...; I=[ 6, 2, 0 ]; R=[ <1, 6>, <2, 2>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 10*x^2 + 8*x + 6; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^9+...; I=[ 6, 2, 0 ]; R=[ <1, 6>, <2, 2>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^3 + 10*x^2 + 8*x + 6; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^10+...; I=[ 7, 4, 0 ]; R=[ <1, 7>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^3 + 2; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^10+...; I=[ 7, 4, 0 ]; R=[ <1, 7>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^3 + 8*x^2 + 2; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^10+...; I=[ 7, 4, 0 ]; R=[ <1, 7>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^3 + 4*x^2 + 2; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^10+...; I=[ 7, 4, 0 ]; R=[ <1, 7>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^3 + 12*x^2 + 2; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^10+...; I=[ 7, 4, 0 ]; R=[ <1, 7>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^3 + 8*x + 2; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^10+...; I=[ 7, 4, 0 ]; R=[ <1, 7>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^3 + 8*x^2 + 8*x + 2; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^10+...; I=[ 7, 4, 0 ]; R=[ <1, 7>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^3 + 4*x^2 + 8*x + 2; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^10+...; I=[ 7, 4, 0 ]; R=[ <1, 7>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^3 + 12*x^2 + 8*x + 2; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^10+...; I=[ 7, 4, 0 ]; R=[ <1, 7>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^3 + 10; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^10+...; I=[ 7, 4, 0 ]; R=[ <1, 7>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^3 + 8*x^2 + 10; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^10+...; I=[ 7, 4, 0 ]; R=[ <1, 7>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^3 + 4*x^2 + 10; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^10+...; I=[ 7, 4, 0 ]; R=[ <1, 7>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^3 + 12*x^2 + 10; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^10+...; I=[ 7, 4, 0 ]; R=[ <1, 7>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^3 + 8*x + 10; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^10+...; I=[ 7, 4, 0 ]; R=[ <1, 7>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^3 + 8*x^2 + 8*x + 10; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^10+...; I=[ 7, 4, 0 ]; R=[ <1, 7>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^3 + 4*x^2 + 8*x + 10; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^10+...; I=[ 7, 4, 0 ]; R=[ <1, 7>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^3 + 12*x^2 + 8*x + 10; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^11+...; I=[ 8, 4, 0 ]; R=[ <1, 8>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 2; Aut=2T1; Gal=4T3
