p; n; j; ind of insep; polygon; residual poly; defining poly; automorphism; galois group; 
p=2; n=8; j=1; I=[ 1, 1, 1, 0 ]; R=[ <1, 1>, <8, 0> ]; A=<t + 1>; f=x^8 + 2*x + 2; Aut=1T1; Gal=8T36
p=2; n=8; j=3; I=[ 3, 3, 3, 0 ]; R=[ <1, 3>, <8, 0> ]; A=<t + 1>; f=x^8 + 2*x^3 + 2; Aut=1T1; Gal=8T36
p=2; n=8; j=3; I=[ 3, 2, 2, 0 ]; R=[ <1, 3>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 2*x^3 + 2*x^2 + 2; Aut=2T1; Gal=8T23
p=2; n=8; j=3; I=[ 3, 2, 2, 0 ]; R=[ <1, 3>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 2*x^4 + 2*x^3 + 2*x^2 + 2; Aut=2T1; Gal=8T23
p=2; n=8; j=5; I=[ 5, 5, 5, 0 ]; R=[ <1, 5>, <8, 0> ]; A=<t + 1>; f=x^8 + 2*x^5 + 2; Aut=1T1; Gal=8T36
p=2; n=8; j=5; I=[ 5, 5, 4, 0 ]; R=[ <1, 5>, <8, 0> ]; A=<t + 1>; f=x^8 + 2*x^5 + 2*x^4 + 2; Aut=1T1; Gal=8T36
p=2; n=8; j=5; I=[ 5, 2, 2, 0 ]; R=[ <1, 5>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 2*x^5 + 2*x^2 + 2; Aut=2T1; Gal=8T23
p=2; n=8; j=5; I=[ 5, 2, 2, 0 ]; R=[ <1, 5>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 2*x^7 + 2*x^5 + 2*x^2 + 2; Aut=2T1; Gal=8T24
p=2; n=8; j=5; I=[ 5, 2, 2, 0 ]; R=[ <1, 5>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 2*x^5 + 2*x^2 + 6; Aut=2T1; Gal=8T23
p=2; n=8; j=5; I=[ 5, 2, 2, 0 ]; R=[ <1, 5>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 2*x^7 + 2*x^5 + 2*x^2 + 6; Aut=2T1; Gal=8T24
p=2; n=8; j=7; I=[ 7, 7, 7, 0 ]; R=[ <1, 7>, <8, 0> ]; A=<t^7 + 1>; f=x^8 + 2*x^7 + 2; Aut=2T1; Gal=8T13
p=2; n=8; j=7; I=[ 7, 7, 7, 0 ]; R=[ <1, 7>, <8, 0> ]; A=<t^7 + 1>; f=x^8 + 2*x^7 + 6; Aut=2T1; Gal=8T13
p=2; n=8; j=7; I=[ 7, 2, 2, 0 ]; R=[ <1, 7>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 2*x^7 + 2*x^2 + 2; Aut=2T1; Gal=8T44
p=2; n=8; j=7; I=[ 7, 2, 2, 0 ]; R=[ <1, 7>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 2*x^7 + 4*x^4 + 2*x^2 + 2; Aut=2T1; Gal=8T44
