K = Z3(a) = Z3[x] / x^2 + 2*x + 2
p=3; n=9; d=2*p^15+...; I=[ 7, 6, 0 ]; R=[ <1, 7>, <9, 0> ]; A=<t + 1>; f=x^9 + 6*x^7 + 3*x^6 + 3; Aut=2T1; Gal=9T15
p=3; n=9; d=2*p^15+...; I=[ 7, 6, 0 ]; R=[ <1, 7>, <9, 0> ]; A=<t + 1>; f=x^9 + 6*x^7 + 3*a*x^6 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=2*p^15+...; I=[ 7, 6, 0 ]; R=[ <1, 7>, <9, 0> ]; A=<t + 1>; f=x^9 + 6*x^7 + (3*a + 3)*x^6 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=2*p^15+...; I=[ 7, 6, 0 ]; R=[ <1, 7>, <9, 0> ]; A=<t + 1>; f=x^9 + 6*x^7 + (6*a + 3)*x^6 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=2*p^15+...; I=[ 7, 6, 0 ]; R=[ <1, 7>, <9, 0> ]; A=<t + 1>; f=x^9 + 6*x^7 + 6*x^6 + 3; Aut=2T1; Gal=9T15
p=3; n=9; d=2*p^15+...; I=[ 7, 6, 0 ]; R=[ <1, 7>, <9, 0> ]; A=<t + 1>; f=x^9 + 6*x^7 + 6*a*x^6 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=2*p^15+...; I=[ 7, 6, 0 ]; R=[ <1, 7>, <9, 0> ]; A=<t + 1>; f=x^9 + 6*x^7 + (6*a + 6)*x^6 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=2*p^15+...; I=[ 7, 6, 0 ]; R=[ <1, 7>, <9, 0> ]; A=<t + 1>; f=x^9 + 6*x^7 + (3*a + 6)*x^6 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=2*p^15+...; I=[ 7, 7, 0 ]; R=[ <1, 7>, <9, 0> ]; A=<t + 1>; f=x^9 + 6*x^7 + 3; Aut=2T1; Gal=9T15
p=3; n=9; d=w^5*p^15+...; I=[ 7, 6, 0 ]; R=[ <1, 7>, <9, 0> ]; A=<t + w>; f=x^9 + 6*a*x^7 + 3*x^6 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^5*p^15+...; I=[ 7, 6, 0 ]; R=[ <1, 7>, <9, 0> ]; A=<t + w>; f=x^9 + 6*a*x^7 + 3*a*x^6 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^5*p^15+...; I=[ 7, 6, 0 ]; R=[ <1, 7>, <9, 0> ]; A=<t + w>; f=x^9 + 6*a*x^7 + (3*a + 3)*x^6 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^5*p^15+...; I=[ 7, 6, 0 ]; R=[ <1, 7>, <9, 0> ]; A=<t + w>; f=x^9 + 6*a*x^7 + (6*a + 3)*x^6 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^5*p^15+...; I=[ 7, 6, 0 ]; R=[ <1, 7>, <9, 0> ]; A=<t + w>; f=x^9 + 6*a*x^7 + 6*x^6 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^5*p^15+...; I=[ 7, 6, 0 ]; R=[ <1, 7>, <9, 0> ]; A=<t + w>; f=x^9 + 6*a*x^7 + 6*a*x^6 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^5*p^15+...; I=[ 7, 6, 0 ]; R=[ <1, 7>, <9, 0> ]; A=<t + w>; f=x^9 + 6*a*x^7 + (6*a + 6)*x^6 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^5*p^15+...; I=[ 7, 6, 0 ]; R=[ <1, 7>, <9, 0> ]; A=<t + w>; f=x^9 + 6*a*x^7 + (3*a + 6)*x^6 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^5*p^15+...; I=[ 7, 7, 0 ]; R=[ <1, 7>, <9, 0> ]; A=<t + w>; f=x^9 + 6*a*x^7 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^6*p^15+...; I=[ 7, 6, 0 ]; R=[ <1, 7>, <9, 0> ]; A=<t + w^2>; f=x^9 + (6*a + 6)*x^7 + 3*x^6 + 3; Aut=1T1; Gal=9T15
