p; n; j; ind of insep; polygon; residual poly; defining poly; automorphism; galois group; 
p=5; n=5; d=4*p^5+...; I=[ 1, 0 ]; R=[ <1, 1>, <5, 0> ]; A=<t + 1>; f=x^5 + 20*x + 5; Aut=1T1; Gal=5T3
p=5; n=5; d=3*p^5+...; I=[ 1, 0 ]; R=[ <1, 1>, <5, 0> ]; A=<t + 2>; f=x^5 + 15*x + 5; Aut=1T1; Gal=5T3
p=5; n=5; d=2*p^5+...; I=[ 1, 0 ]; R=[ <1, 1>, <5, 0> ]; A=<t + 3>; f=x^5 + 10*x + 5; Aut=1T1; Gal=5T3
p=5; n=5; d=1*p^5+...; I=[ 1, 0 ]; R=[ <1, 1>, <5, 0> ]; A=<t + 4>; f=x^5 + 5*x + 5; Aut=1T1; Gal=5T3
p=5; n=5; d=1*p^6+...; I=[ 2, 0 ]; R=[ <1, 2>, <5, 0> ]; A=<t^2 + 1>; f=x^5 + 10*x^2 + 5; Aut=1T1; Gal=5T2
p=5; n=5; d=2*p^6+...; I=[ 2, 0 ]; R=[ <1, 2>, <5, 0> ]; A=<t^2 + 2>; f=x^5 + 20*x^2 + 5; Aut=1T1; Gal=5T3
p=5; n=5; d=3*p^6+...; I=[ 2, 0 ]; R=[ <1, 2>, <5, 0> ]; A=<t^2 + 3>; f=x^5 + 5*x^2 + 5; Aut=1T1; Gal=5T3
p=5; n=5; d=4*p^6+...; I=[ 2, 0 ]; R=[ <1, 2>, <5, 0> ]; A=<t^2 + 4>; f=x^5 + 15*x^2 + 5; Aut=1T1; Gal=5T2
p=5; n=5; d=4*p^7+...; I=[ 3, 0 ]; R=[ <1, 3>, <5, 0> ]; A=<t + 1>; f=x^5 + 15*x^3 + 5; Aut=1T1; Gal=5T3
p=5; n=5; d=3*p^7+...; I=[ 3, 0 ]; R=[ <1, 3>, <5, 0> ]; A=<t + 2>; f=x^5 + 5*x^3 + 5; Aut=1T1; Gal=5T3
p=5; n=5; d=2*p^7+...; I=[ 3, 0 ]; R=[ <1, 3>, <5, 0> ]; A=<t + 3>; f=x^5 + 20*x^3 + 5; Aut=1T1; Gal=5T3
p=5; n=5; d=1*p^7+...; I=[ 3, 0 ]; R=[ <1, 3>, <5, 0> ]; A=<t + 4>; f=x^5 + 10*x^3 + 5; Aut=1T1; Gal=5T3
p=5; n=5; d=1*p^8+...; I=[ 4, 0 ]; R=[ <1, 4>, <5, 0> ]; A=<t^4 + 1>; f=x^5 + 5*x^4 + 5; Aut=1T1; Gal=5T2
p=5; n=5; d=2*p^8+...; I=[ 4, 0 ]; R=[ <1, 4>, <5, 0> ]; A=<t^4 + 2>; f=x^5 + 10*x^4 + 5; Aut=1T1; Gal=5T3
p=5; n=5; d=3*p^8+...; I=[ 4, 0 ]; R=[ <1, 4>, <5, 0> ]; A=<t^4 + 3>; f=x^5 + 15*x^4 + 5; Aut=1T1; Gal=5T3
p=5; n=5; d=4*p^8+...; I=[ 4, 0 ]; R=[ <1, 4>, <5, 0> ]; A=<t^4 + 4>; f=x^5 + 20*x^4 + 5; Aut=5T1; Gal=5T1
p=5; n=5; d=4*p^8+...; I=[ 4, 0 ]; R=[ <1, 4>, <5, 0> ]; A=<t^4 + 4>; f=x^5 + 20*x^4 + 30; Aut=5T1; Gal=5T1
p=5; n=5; d=4*p^8+...; I=[ 4, 0 ]; R=[ <1, 4>, <5, 0> ]; A=<t^4 + 4>; f=x^5 + 20*x^4 + 55; Aut=5T1; Gal=5T1
p=5; n=5; d=4*p^8+...; I=[ 4, 0 ]; R=[ <1, 4>, <5, 0> ]; A=<t^4 + 4>; f=x^5 + 20*x^4 + 80; Aut=5T1; Gal=5T1
p=5; n=5; d=4*p^8+...; I=[ 4, 0 ]; R=[ <1, 4>, <5, 0> ]; A=<t^4 + 4>; f=x^5 + 20*x^4 + 105; Aut=5T1; Gal=5T1
p=5; n=5; d=1*p^9+...; I=[ 5, 0 ]; R=[ <1, 5>, <5, 0> ]; A=<t + 4>; f=x^5 + 5; Aut=1T1; Gal=5T3
p=5; n=5; d=1*p^9+...; I=[ 5, 0 ]; R=[ <1, 5>, <5, 0> ]; A=<t + 4>; f=x^5 + 25*x + 5; Aut=1T1; Gal=5T3
p=5; n=5; d=1*p^9+...; I=[ 5, 0 ]; R=[ <1, 5>, <5, 0> ]; A=<t + 4>; f=x^5 + 50*x + 5; Aut=1T1; Gal=5T3
p=5; n=5; d=1*p^9+...; I=[ 5, 0 ]; R=[ <1, 5>, <5, 0> ]; A=<t + 4>; f=x^5 + 75*x + 5; Aut=1T1; Gal=5T3
p=5; n=5; d=1*p^9+...; I=[ 5, 0 ]; R=[ <1, 5>, <5, 0> ]; A=<t + 4>; f=x^5 + 100*x + 5; Aut=1T1; Gal=5T3
 
